id,server_ts,account,side,price,order_type,time_in_force,symbol,size
3725694,1500313392965,100,0,18.6470000,0,0,DODic17,250.0000000
3725695,1500313393363,10,1,18.7330000,0,0,DODic17,100.0000000
3725805,1500313634903,100,0,18.6000000,0,0,DODic17,5.0000000
3725806,1500313635282,10,1,18.7230000,0,0,DODic17,100.0000000
3725856,1500313794638,100,0,18.5970000,0,0,DODic17,5.0000000
3725857,1500313795077,10,1,18.7230000,0,0,DODic17,100.0000000
3725974,1500313874392,100,0,18.5970000,0,0,DODic17,10.0000000
3725975,1500313874775,10,1,18.7230000,0,0,DODic17,100.0000000
3725998,1500313933599,100,0,18.5970000,0,0,DODic17,5.0000000
3725999,1500313934003,10,1,18.8070000,0,0,DODic17,100.0000000
3726033,1500313993318,100,0,18.6120000,0,0,DODic17,10.0000000
3726034,1500313993908,10,1,18.8020000,0,0,DODic17,100.0000000
3726064,1500314052081,100,0,18.6170000,0,0,DODic17,10.0000000
3726065,1500314052470,10,1,18.8020000,0,0,DODic17,100.0000000
3726107,1500314113094,100,0,18.6310000,0,0,DODic17,10.0000000
3726108,1500314113487,10,1,18.8090000,0,0,DODic17,150.0000000
3726144,1500314172889,100,0,18.6330000,0,0,DODic17,50.0000000
3726145,1500314173286,10,1,18.8090000,0,0,DODic17,150.0000000
3726172,1500314233827,100,0,18.6140000,0,0,DODic17,250.0000000
3726173,1500314234233,10,1,18.7890000,0,0,DODic17,50.0000000
3726203,1500314392335,100,0,18.6260000,0,0,DODic17,65.0000000
3726204,1500314392741,10,1,18.7890000,0,0,DODic17,50.0000000
3726234,1500314413853,100,0,18.6510000,0,0,DODic17,250.0000000
3726235,1500314414261,10,1,18.8180000,0,0,DODic17,50.0000000
3726267,1500314453409,100,0,18.6410000,0,0,DODic17,70.0000000
3726268,1500314453854,10,1,18.7430000,0,0,DODic17,114.0000000
3726295,1500314474272,100,0,18.6510000,0,0,DODic17,250.0000000
3726296,1500314474657,10,1,18.7600000,0,0,DODic17,50.0000000
3726324,1500314531641,100,0,18.6510000,0,0,DODic17,250.0000000
