Posición,Precio,Volumen,Hora
RFX20042021,65170.0,1,15:38:32
WTI072021,63.0,2,15:38:29
GGAL042021,118.55,3,15:38:28
RFX20042021,65170.0,1,15:38:22
GGAL042021,118.5,1,15:38:15
RFX20042021,65170.0,2,15:38:10
RFX20042021,65165.0,1,15:37:57
RFX20042021,65165.0,9,15:37:23
RFX20042021,65160.0,1,15:37:15
GGAL042021,118.5,1,15:36:04
GGAL042021,118.5,9,15:36:04
GGAL042021,118.45,4,15:35:57
RFX20042021,65160.0,5,15:35:27
RFX20042021,65180.0,1,15:35:25
RFX20042021,65170.0,1,15:35:25
RFX20042021,65235.0,1,15:34:37
RFX20042021,65200.0,1,15:34:07
RFX20042021,65200.0,1,15:34:07
RFX20042021,65200.0,1,15:34:07
RFX20042021,65125.0,3,15:34:06
RFX20042021,65125.0,1,15:34:06
RFX20042021,65120.0,1,15:34:04
RFX20042021,65120.0,3,15:34:04
RFX20042021,65120.0,1,15:34:04
RFX20042021,65100.0,3,15:33:41
RFX20042021,65100.0,1,15:33:30
WTI052021,63.35,5,15:30:00
RFX20042021,65065.0,1,15:29:06
WTI052021,63.37,5,15:28:59
WTI072021,62.5,13,15:28:45
WTI052021,63.05,1,15:28:26
GGAL062021,124.0,1,15:28:23
GGAL042021,118.35,1,15:28:22
GGAL042021,118.35,1,15:28:18
GGAL042021,118.35,1,15:28:18
GGAL042021,118.35,1,15:28:18
GGAL042021,118.3,1,15:28:16
GGAL062021,124.0,1,15:28:16
GGAL042021,118.3,1,15:28:12
GGAL062021,124.0,1,15:28:12
GGAL062021,124.0,1,15:28:11
GGAL042021,118.3,1,15:28:10
GGAL062021,124.0,1,15:28:10
GGAL042021,118.3,1,15:28:10
GGAL062021,124.0,1,15:28:09
GGAL042021,118.3,1,15:28:09
GGAL042021,118.3,1,15:28:08
GGAL062021,124.0,1,15:28:08
GGAL042021,118.3,1,15:28:08
GGAL042021,118.3,1,15:28:07
GGAL062021,124.0,1,15:28:07
GGAL042021,118.3,1,15:28:07
GGAL062021,124.0,1,15:28:06
GGAL042021,118.3,1,15:28:06
GGAL062021,124.0,1,15:28:01
GGAL062021,124.0,1,15:27:58
GGAL062021,124.0,1,15:27:57
GGAL042021,118.35,1,15:27:56
GGAL062021,124.0,1,15:27:56
GGAL062021,124.0,1,15:27:54
GGAL042021,118.35,1,15:27:54
GGAL042021,118.35,1,15:27:53
GGAL062021,124.0,1,15:27:53
RFX20042021,65120.0,1,15:27:00
RFX20042021,65120.0,1,15:26:53
