indice_tiempo,medio_de_transporte,pais_origen,turistas_no_residentes
2017-08,Aérea,Resto del mundo,12758.1
2017-08,Aérea,Resto de América,31970
2017-08,Aérea,Uruguay,5798
2017-08,Aérea,Paraguay,5679
2017-08,Aérea,EE.UU. y Canadá,23394
2017-08,Aérea,Chile,22029
2017-08,Aérea,Brasil,69237
2017-08,Aérea,Bolivia,5151
2017-08,Terrestre,Europa,12312.8
2017-08,Terrestre,Resto del mundo,3119.7
2017-08,Terrestre,Resto de América,9464.3
2017-08,Terrestre,Uruguay,24506.5
2017-08,Terrestre,Paraguay,53453.2
2017-08,Terrestre,EE.UU. y Canadá,1390.4
2017-08,Terrestre,Chile,31001.2
2017-08,Terrestre,Brasil,23604.1
2017-08,Terrestre,Bolivia,29819.7
2017-08,Fluvial/Marítima,Europa,3801
2017-08,Fluvial/Marítima,Resto del mundo,920
2017-08,Fluvial/Marítima,Resto de América,3954
2017-08,Fluvial/Marítima,Uruguay,29823
2017-08,Fluvial/Marítima,Paraguay,8641
2017-08,Fluvial/Marítima,EE.UU. y Canadá,1564
2017-08,Fluvial/Marítima,Chile,678
2017-08,Fluvial/Marítima,Brasil,9139
2017-08,Fluvial/Marítima,Bolivia,2363
2017-09,Aérea,Europa,31543.9
2017-09,Aérea,Resto del mundo,13292.1
2017-09,Aérea,Resto de América,30352
2017-09,Aérea,Uruguay,5839
2017-09,Aérea,Paraguay,5178
2017-09,Aérea,EE.UU. y Canadá,17730
2017-09,Aérea,Chile,26302
2017-09,Aérea,Brasil,65764
2017-09,Aérea,Bolivia,5481
2017-09,Terrestre,Europa,10211.8
2017-09,Terrestre,Resto del mundo,3442.8
2017-09,Terrestre,Resto de América,9664.9
2017-09,Terrestre,Uruguay,33599
2017-09,Terrestre,Paraguay,52613.9
2017-09,Terrestre,EE.UU. y Canadá,1645
2017-09,Terrestre,Chile,51706.7
2017-09,Terrestre,Brasil,35949.2
2017-09,Terrestre,Bolivia,29698.8
2017-09,Fluvial/Marítima,Europa,3595
2017-09,Fluvial/Marítima,Resto del mundo,1111
2017-09,Fluvial/Marítima,Resto de América,3778
2017-09,Fluvial/Marítima,Uruguay,30807
2017-09,Fluvial/Marítima,Paraguay,8625
2017-09,Fluvial/Marítima,EE.UU. y Canadá,1600
2017-09,Fluvial/Marítima,Chile,1180.1
2017-09,Fluvial/Marítima,Brasil,11657
2017-09,Fluvial/Marítima,Bolivia,2123
2017-10,Aérea,Europa,35445
2017-10,Aérea,Resto del mundo,15901
2017-10,Aérea,Resto de América,38025
2017-10,Aérea,Uruguay,5725
2017-10,Aérea,Paraguay,5902
2017-10,Aérea,EE.UU. y Canadá,21586
2017-10,Aérea,Chile,30508
2017-10,Aérea,Brasil,64309
2017-10,Aérea,Bolivia,5736
2017-10,Terrestre,Europa,18294.1
2017-10,Terrestre,Resto del mundo,5277.4
2017-10,Terrestre,Resto de América,11312.1
2017-10,Terrestre,Uruguay,26545
2017-10,Terrestre,Paraguay,60371.6
2017-10,Terrestre,EE.UU. y Canadá,3093.5
2017-10,Terrestre,Chile,54692.3
2017-10,Terrestre,Brasil,33402.2
2017-10,Terrestre,Bolivia,32299.5
2017-10,Fluvial/Marítima,Europa,6973.4
2017-10,Fluvial/Marítima,Resto del mundo,1820.2
2017-10,Fluvial/Marítima,Resto de América,5817
2017-10,Fluvial/Marítima,Uruguay,32880.4
2017-10,Fluvial/Marítima,Paraguay,7977.1
2017-10,Fluvial/Marítima,EE.UU. y Canadá,3026.1
2017-10,Fluvial/Marítima,Chile,1078.7
2017-10,Fluvial/Marítima,Brasil,11277.7
2017-10,Fluvial/Marítima,Bolivia,4239.3
2017-11,Aérea,Europa,55784.1
2017-11,Aérea,Resto del mundo,15832
2017-11,Aérea,Resto de América,39573.8
2017-11,Aérea,Uruguay,5040
2017-11,Aérea,Paraguay,6451
2017-11,Aérea,EE.UU. y Canadá,30646.7
2017-11,Aérea,Chile,26790
2017-11,Aérea,Brasil,58755
2017-11,Aérea,Bolivia,5660
2017-11,Terrestre,Europa,34824.9
2017-11,Terrestre,Resto del mundo,6113.7
2017-11,Terrestre,Resto de América,11657.9
2017-11,Terrestre,Uruguay,22804.2
2017-11,Terrestre,Paraguay,53097.4
2017-11,Terrestre,EE.UU. y Canadá,4986.5
2017-11,Terrestre,Chile,46368.3
2017-11,Terrestre,Brasil,31139
2017-11,Terrestre,Bolivia,27352.5
2017-11,Fluvial/Marítima,Europa,12390
